wavelength (microns),Sapphire Window_130 Transmission
2.42618,87.0195
2.42732,87.022
2.42846,87.022
2.4296,87.022
2.43073,87.0215
2.43187,87.021
2.43302,87.0245
2.43416,87.0305
2.4353,87.037
2.43645,87.0405
2.43759,87.041
2.43874,87.0425
2.43989,87.045
2.44103,87.046
2.44218,87.046
2.44333,87.0465
2.44449,87.0505
2.44564,87.055
2.44679,87.0575
2.44795,87.0605
2.44911,87.0655
2.45026,87.067
2.45142,87.0655
2.45258,87.0665
2.45374,87.069
2.4549,87.074
2.45607,87.079
2.45723,87.0815
2.4584,87.0805
2.45956,87.0795
2.46073,87.082
2.4619,87.0895
2.46307,87.0995
2.46424,87.1055
2.46541,87.105
2.46658,87.104
2.46776,87.104
2.46893,87.106
2.47011,87.109
2.47128,87.1135
2.47246,87.119
2.47364,87.1215
2.47482,87.121
2.47601,87.1235
2.47719,87.1305
2.47837,87.1385
2.47956,87.141
2.48074,87.139
2.48193,87.1375
2.48312,87.142
2.48431,87.1495
2.4855,87.1555
2.48669,87.157
2.48789,87.1595
2.48908,87.1635
2.49028,87.1655
2.49147,87.1675
2.49267,87.1705
2.49387,87.1755
2.49507,87.1825
2.49627,87.1865
2.49747,87.189
2.49868,87.1895
2.49988,87.1905
2.50109,87.1895
2.5023,87.194
2.5035,87.197
2.50471,87.199
2.50592,87.206
2.50714,87.2085
2.50835,87.211
2.50956,87.2185
2.51078,87.224
2.51199,87.221
2.51321,87.217
2.51443,87.222
2.51565,87.2265
2.51687,87.225
2.51809,87.2295
2.51932,87.2345
2.52054,87.2315
2.52177,87.2285
2.523,87.2405
2.52422,87.2495
2.52545,87.2435
2.52668,87.2425
2.52792,87.24
2.52915,87.23
2.53038,87.234
2.53162,87.258
2.53286,87.2615
2.53409,87.2415
2.53533,87.259
2.53657,87.2835
2.53781,87.2715
2.53906,87.2595
2.5403,87.253
2.54155,87.265
2.54279,87.293
2.54404,87.2825
2.54529,87.2445
2.54654,87.2495
2.54779,87.278
2.54904,87.2625
2.5503,87.2525
2.55155,87.2905
2.55281,87.3225
2.55407,87.3075
2.55533,87.287
2.55659,87.28
2.55785,87.2495
2.55911,87.23
2.56037,87.264
2.56164,87.2895
2.5629,87.292
2.56417,87.317
2.56544,87.286
2.56671,87.2225
2.56798,87.251
2.56925,87.331
2.57053,87.294
2.5718,87.247
2.57308,87.308
2.57436,87.3035
2.57564,87.2965
2.57692,87.35
2.5782,87.2915
2.57948,87.2385
2.58076,87.27
2.58205,87.287
2.58334,87.333
2.58462,87.3085
2.58591,87.2455
2.5872,87.311
2.5885,87.3605
2.58979,87.3075
2.59108,87.218
2.59238,87.195
2.59367,87.3505
2.59497,87.535
2.59627,87.436
2.59757,87.2855
2.59888,87.259
2.60018,87.295
2.60148,87.309
2.60279,87.284
2.6041,87.3145
2.6054,87.3685
2.60671,87.338
